Time Stamp,Ignition Advance," RPM",AuxInput," AFM (V)",DME Voltage (V)," IAT (F)"," ECT (F)",Throttle Switch," ICV (%)",Fly. Mark (Errors),Fly. RPM (Errors),Fly. Tooth (Count),Flywheel Vehicle," NBO2 (V)",NBO2 Digital," FQS"," BAP (PSI)"," MAP (PSI)"," WBO2 (AFR)"," WBO2 (Lamda)",Ign. Dwell (ms),Inj. Pulse (ms),Fuel Pump,DME Program,Codeing Plug,AC Comp.
01:14:58:222309,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:237925,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:253549,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:269170,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:284786,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:300405,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:316027,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:331646,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:347266,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:362885,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:378505,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:394125,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:409745,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:425365,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:440985,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:58:456605,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
